Chinese,English,Type,Notes
勒克莱尔,Charles Leclerc,driver,driver name
夏尔,Charles Leclerc,driver,driver name
路易斯,Lewis Hamilton,driver,driver name
刘易斯,Lewis Hamilton,driver,driver name
汉密尔顿,Lewis Hamilton,driver,driver name
麦克斯,Lewis Hamilton,driver,driver name
马克思,Max Verstappen,driver,driver name
维斯塔潘,Max Verstappen,driver,driver name
哈贾尔,Isack Hadjar,driver,driver name
哈嘉尔,Isack Hadjar,driver,driver name
伊萨克,Isack Hadjar,driver,driver name
艾萨克,Isack Hadjar,driver,driver name
乔治,George Russell,driver,driver name
拉塞尔,George Russell,driver,driver name
罗素,George Russell,driver,driver name
安东内利,Andrea Kimi Antonelli,driver,driver name
诺里斯,Lando Norris,driver,driver name
兰多,Lando Norris,driver,driver name
奥斯卡,Oscar Piastri,driver,driver name
皮亚斯特里,Oscar Piastri,driver,driver name
奥康,Esteban Ocon,driver,driver name
埃斯特班,Esteban Ocon,driver,driver name
熊人,Oliver Bearman,driver,driver name
熊男,Oliver Bearman,driver,driver name
奥利,Oliver Bearman,driver,driver name
奥利弗,Oliver Bearman,driver,driver name
贝尔曼,Oliver Bearman,driver,driver name
皮埃尔,Pierre Gasly,driver,driver name
加斯利,Pierre Gasly,driver,driver name
嘉斯利,Pierre Gasly,driver,driver name
利亚姆,Liam Lawson,driver,driver name
劳森,Liam Lawson,driver,driver name
阿尔维德,Arvid Lindblad,driver,driver name
林德布拉德,Arvid Lindblad,driver,driver name
赛恩斯,Carlos Sainz Jr,driver,driver name
卡洛斯,Carlos Sainz Jr,driver,driver name
亚历山大,Alex Albon,driver,driver name
阿尔本,Alex Albon,driver,driver name
拉斐尔,Rafael Camara,driver,driver name
卡马拉,Rafael Camara,driver,driver name
丹尼尔,Daniel Ricciardo,driver,driver name
里卡多,Daniel Ricciardo,driver,driver name
卢克,Luke Browning,driver,driver name
布朗宁,Luke Browning,driver,driver name
博托莱托,Gabriel Bortoleto,driver,driver name
加布里埃尔,Gabriel Bortoleto,driver,driver name
霍肯博格,Nico Hulkenberg,driver,driver name
马蒂,Pepe Marti,driver,driver name
迪诺,Dino Beganovic,driver,driver name
贝加诺维奇,Dino Beganovic,driver,driver name
